TNS Name,flux,flux_err,T_rise,T_rise_upper,T_rise_lower,T_fall,T_fall_upper,T_fall_lower,T_max,T_max_err,t_minus_half,t_minus_half_err,t_plus_half,t_plus_half_err,t_minus_five,t_plus_five
2020hvp,3206.8194889975102,58.24390662544228,2.6647073273181303,0.04032467543105556,-0.03272183089251923,31.89782356949747,0.2030745314685447,-0.1991160753214416,58974.940089384116,1.8028847709261953,58967.55954460386,1.9576602292617933,58999.02018238172,4.596254426314371,58959.17756886887,59074.39034624124
2020hdh,362.11817034799554,22.350841528991964,3.2596937518841265,0.4901011058975544,-0.5261533647744718,25.558824825981404,2.9210668794184684,-3.099905221259281,58959.65577145258,1.284488284693875,58951.06590653345,0.7378565067323843,58981.099679225896,1.2780460258175461,58941.108435165166,59039.50424324925
2020itj,87.77722469760921,6.686612958050608,3.01057674871274,0.6974046262914988,-0.8603101557206654,30.507829398835582,4.252827764528117,-4.528213749714894,58980.501681276044,1.588507933554318,58972.25104099833,0.7691597678568464,59004.177239425364,2.297054362439037,58964.788200111114,59060.87115755556
2020jqm,210.53755762410157,6.130318263547016,4.075990800488457,0.4002189218777481,-0.40898266422295926,32.76111015529406,2.1734992033823595,-2.3719264642342495,58995.89727802381,0.8535338217449352,58984.857522255385,0.5618195742694387,59023.88749207873,1.1485829897881152,58970.715532033035,59114.36607335435
2020kba,220.84854619816304,5.214674276070339,3.5997057170648867,0.2928116344332228,-0.3057398667823601,29.820313336057374,1.7246957241822933,-1.523719334959825,58999.03739544045,0.7104407453946154,58989.332133629636,0.4837920767289205,59024.1122378228,0.7770900399283401,58977.81274218919,59099.39171542342
2020kxg,223.80013092753677,9.815744279010397,3.144658613932512,0.3405501063373526,-0.3989943215556613,20.412363953254204,2.2103480868186907,-2.2021410669405483,59003.628788520095,0.6665970561233857,58995.47504220199,0.4500837038701806,59021.58617822029,1.175623851928505,58985.14697537838,59072.779979582585
2020ksa,147.4986432193675,15.26795530511656,2.4579113956215,0.6551159997433089,-0.5090053373098189,8.987723438662588,2.6926542385521053,-3.332275815712263,58998.97072549812,1.5227216159871468,58993.11141927997,1.1190018733061387,59008.60522270726,1.3957990614738152,58982.762728999995,59034.617742111106
2020lbh,176.14821348370072,5.028598850306213,3.786756447871311,0.3991703753768818,-0.4482737935650434,64.86481840386836,7.191439953655525,-7.1993216724712426,59010.40662917285,1.007399801860613,58998.3974107695,0.5543020678463756,59060.09514086015,3.1267781375356694,58986.468081131134,59222.34901913714
2020lid,1325.4122366087095,800.5335282341626,3.7567615762002173,2.7084285787772484,-3.7479494297053977,46.74823354571362,1.9837011221500802,-2.045604211835098,58944.3875002876,24.57786036637841,58927.11029295012,20.590823145910555,58962.49365848091,14.36642342068554,58922.38432386787,59083.48504858959
2020lao,419.2316103395099,10.192498657164727,2.2351964984382233,0.307585211096022,-0.2959512415886554,21.8451163316807,1.4061292948634012,-1.5569640801473312,59004.173928665914,0.4593001641579642,58998.108130088694,0.5060835117021212,59021.991010410784,0.7447090663532928,58991.38312364064,59072.016006947946
2020avf,109.79268049645752,12.875280023967273,2.1646492887909563,1.0295996032631474,-1.5682390117302774,66.78198769982748,12.418296788974878,-14.876052288154256,58875.881375765,3.140906619828447,58867.93119313802,1.5941907615751882,58923.7761980422,5.801804020347399,58861.98880765766,59064.66298015315
2020ltq,560.9251897567833,8.205730235730055,3.0767767238852786,0.22580369582955084,-0.22064549079449636,35.0453136927088,1.245060659713154,-1.2408959172999303,59017.49257379737,0.6129985127508764,59008.63404113285,0.35320879212372663,59045.49386859687,0.587121729241818,58999.19762427327,59131.83844167267
2020lls,82.43125657049873,6.901716972766071,2.4092190621747527,0.5820193638952194,-0.6570028080128552,24.156650463624196,4.523454605373068,-5.139972465750308,59007.953468594504,1.4501903673860186,59001.478510086235,0.8010502977750669,59026.75420279199,1.855076323930886,58995.811067126124,59072.02908260961
2020mbt,220.60656353829376,9.031522317589786,2.3119454418677163,0.3016725899674877,-0.3580983312686046,55.204177107255006,8.458228177484955,-7.42778897073368,59019.20602481843,0.9452698283154944,59011.43964963816,0.39356088797765443,59059.684188272746,4.818280429112856,59004.57770757057,59190.673361923924
2020mbc,211.6702669433457,11.837025913812527,2.937956270170449,0.4328173702670295,-0.4660824205492897,16.62797626730467,2.32921890327521,-2.493026750947916,59022.43332999819,0.9470262078016488,59015.14577186179,0.7768730424146024,59037.31066428067,0.9717403438574499,59006.42111042343,59073.75023002703
2020njz,5069.0039825660615,4070.527548999279,2.2247981915795196,1.7043657514568071,-3.0387329362415865,30.539328207261384,1.0790165664240163,-1.166096518987903,58955.210529910924,23.42622743995716,58936.196433746816,14.198452608975527,58963.751658804526,7.340945432471964,58941.01546009509,59039.878396381384
2020nke,110.47402463471968,5.249739423501105,3.808870500377733,0.5653697701353053,-0.5859535485150174,28.005588740480903,3.2013702354801588,-3.3236925249359146,59037.43310960293,1.121926538850887,59027.38780963697,0.7947657270320452,59061.49181621605,1.7394715589458236,59015.045585444444,59131.440168
2020mso,88.5259912244551,4.637141462616391,6.4327888485464335,0.949885770470047,-0.9271550664166792,36.72148184344267,4.363925679957845,-4.539089149538178,59036.616482979094,2.3928087903386857,59020.799836908576,1.4754266405221423,59068.01150713005,2.0237899788510316,59004.83372275675,59133.63400221021
2020scb,784.3073981518884,11.339963539070101,2.3969385171899393,0.12004666243248296,-0.1256217393651493,24.583449910835967,0.4605096809804543,-0.49176972744417213,59099.26367569982,0.26865392759835005,59083.3673757566,49.400060611556945,59118.59130300632,3.5527920849806853,59085.29434553153,59178.36589883784
