local_designation ps1_designation id followup_flag_date
3I3Pivy PS1-13dgo 1215412310284111400 2013-09-22
3I3Piuh PS1-13dgm 1213233530241042300 2013-09-22
3I3Piui PS1-13dgn 1213241630250055500 2013-09-22
3I3Piup PS1-13dgq 1221321280165824000 2013-09-22
3I3Pivk PS1-13dgp 1220407370083428200 2013-09-22
3I3Pity PS1-13dgr 1232458061471544100 2013-09-22
3I3Pivx PS1-13dgj 1012808061490106000 2013-09-22
3I3Piwf PS1-13dgy 1224239090172450100 2013-09-24
3I3Piwh PS1-13dha 1225434630145810600 2013-09-24
3I3Piwg PS1-13dhb 1230453210125444500 2013-09-24
3I3Piwl PS1-13dgt 1214755071121811400 2013-09-24
3I3Piwj PS1-13dgu 1220200751100907300 2013-09-24
3I3Piwk PS1-13dgz 1224331161112149800 2013-09-24
3I3Piwo PS1-13dgv 1220409441203505700 2013-09-24
3I3Piwn PS1-13dgx 1223833121120223300 2013-09-24
3I3Piwi PS1-13dgs 1214742051221409000 2013-09-24
3I3Pjei PS1-13dol 1222821041260558100 2013-09-24
3I3Piwp PS1-13dgw 1222841141290358300 2013-09-24
3I3Piyd PS1-13dhg 1232110751233507900 2013-09-25
3I3Pixa PS1-13dhl 1234016061322747500 2013-09-25
3I3Pixb PS1-13dhk 1233744081080512600 2013-09-25
3I3Pixr PS1-13dhi 1233355441043100300 2013-09-25
3I3Pixs PS1-13dhh 1232533211345821800 2013-09-25
3I3Piwz PS1-13dhd 1223914141285549500 2013-09-25
3I3Pixh PS1-13dhe 1225941061063633000 2013-09-25
3I3Pixd PS1-13dhc 1000519791325919200 2013-09-25
3I3Pixv PS1-13dhs 1012053111032023700 2013-09-26
3I3Pjbn PS1-13dhp 1002104521043733700 2013-09-26
3I3Pjgr PS1-13dje 1005324961053002300 2013-09-26
3I3Pixw PS1-13dhq 1010041471071715100 2013-09-26
3I3Piya PS1-13dhr 1010242921083707200 2013-09-26
3I3Pixu PS1-13dho 1001424211073248000 2013-09-26
3I3Pixx PS1-13dhv 1234918731382716900 2013-09-26
3I3Pixz PS1-13dht 1041227751650703000 2013-09-26
3I3Pjbh PS1-13dhz 1004804630085921900 2013-09-28
3I3Pjbv PS1-13dhx 1001010780075030900 2013-09-28
3I3Pjav PS1-13die 1014436750085744300 2013-09-28
3I3Pjau PS1-13dif 1014835710093132300 2013-09-28
3I3Pjbd PS1-13dic 1010237970074624200 2013-09-28
3I3Pjbe PS1-13dhw 1000851700062504900 2013-09-28
3I3Pjbf PS1-13did 1012821900075122500 2013-09-28
3I3Pjbg PS1-13dia 1005227090051524000 2013-09-28
3I3Pjbi PS1-13dib 1010209030041431700 2013-09-28
3I3Pjbt PS1-13dih 1015726090052623400 2013-09-28
3I3Pjbu PS1-13dhy 1003516910035217300 2013-09-28
3I3Pjbb PS1-13dig 1015304170024352100 2013-09-28
3I3Pjbc PS1-13dii 1232947351290054600 2013-09-28
3I3Pjaz PS1-13dij 1233343941324646200 2013-09-28
3I3Pjbk PS1-13dik 1233619151352622000 2013-09-28
3I3Pjfz PS1-13dip 1025238031420541200 2013-09-30
3I3Pjfv PS1-13dil 1023318421443524600 2013-09-30
3J3Pjgl PS1-13djg 1044216030002334200 2013-10-01
3J3Pjgj PS1-13djf 1022331621043001800 2013-10-01
3J3Pjgq PS1-13dji 1234831081253731000 2013-10-01
3J3Pjgh PS1-13djh 1231827551255741800 2013-10-01
3J3Pjhk PS1-13dkl 1230520520055212400 2013-10-03
3J3Pjgs PS1-13dkr 1233423670004059100 2013-10-03
3J3Pjhc PS1-13dkq 1233403010003358900 2013-10-03
3J3Pjhl PS1-13dkn 1232048521025509700 2013-10-03
3J3Pjgz PS1-13dkp 1233208921013328800 2013-10-03
